train set£º
id: 3.png, label: 0, size: 448545
id: 4.png, label: 0, size: 167280
id: 5.png, label: 0, size: 210885
id: 6.png, label: 0, size: 476340
id: 7.png, label: 0, size: 102255
id: 8.png, label: 0, size: 182835
id: 9.png, label: 0, size: 1850280
id: 15.png, label: 0, size: 138975
id: 16.png, label: 0, size: 152745
id: 21.png, label: 0, size: 124185
id: 22.png, label: 0, size: 875160
id: 23.png, label: 0, size: 697170
id: 24.png, label: 0, size: 350370
id: 25.png, label: 0, size: 217260
id: 26.png, label: 0, size: 2152200
id: 27.png, label: 0, size: 250410
id: 28.png, label: 0, size: 534735
id: 29.png, label: 0, size: 92565
id: 30.png, label: 0, size: 236385
id: 31.png, label: 0, size: 102765
id: 32.png, label: 0, size: 2017050
id: 33.png, label: 0, size: 998070
id: 34.png, label: 0, size: 874905
id: 35.png, label: 0, size: 193545
id: 37.png, label: 0, size: 396780
id: 40.png, label: 0, size: 386325
id: 41.png, label: 0, size: 1487925
id: 42.png, label: 0, size: 1088850
id: 44.png, label: 0, size: 224400
id: 46.png, label: 0, size: 151980
id: 47.png, label: 0, size: 84150
id: 49.png, label: 0, size: 5338680
id: 50.png, label: 0, size: 477105
id: 51.png, label: 0, size: 208845
id: 52.png, label: 0, size: 170595
id: 53.png, label: 0, size: 377910
id: 54.png, label: 0, size: 1202070
id: 55.png, label: 0, size: 321555
id: 56.png, label: 0, size: 1002660
id: 57.png, label: 0, size: 226695
id: 58.png, label: 0, size: 554115
id: 59.png, label: 0, size: 876945
id: 60.png, label: 0, size: 120360
id: 61.png, label: 0, size: 717570
id: 63.png, label: 0, size: 163455
id: 64.png, label: 0, size: 7498530
id: 65.png, label: 0, size: 700230
id: 66.png, label: 0, size: 521220
id: 67.png, label: 0, size: 3066120
id: 71.png, label: 0, size: 149430
id: 73.png, label: 0, size: 3928275
id: 74.png, label: 0, size: 134130
id: 75.png, label: 0, size: 598740
id: 76.png, label: 0, size: 296820
id: 77.png, label: 0, size: 669375
id: 79.png, label: 0, size: 799935
id: 80.png, label: 0, size: 3826020
id: 81.png, label: 0, size: 256020
id: 82.png, label: 0, size: 804015
id: 83.png, label: 0, size: 282540
id: 84.png, label: 0, size: 1760775
id: 85.png, label: 0, size: 1795455
id: 86.png, label: 0, size: 113220
id: 87.png, label: 0, size: 336600
id: 88.png, label: 0, size: 1327530
id: 89.png, label: 0, size: 261630
id: 90.png, label: 0, size: 122910
id: 91.png, label: 0, size: 100980
id: 92.png, label: 0, size: 1065645
id: 94.png, label: 0, size: 388110
id: 95.png, label: 0, size: 221595
id: 96.png, label: 0, size: 2302650
id: 97.png, label: 0, size: 2901390
id: 98.png, label: 0, size: 5300175
id: 99.png, label: 0, size: 712725
id: 151.png, label: 0, size: 147135
id: 153.png, label: 0, size: 106335
id: 154.png, label: 0, size: 130560
id: 159.png, label: 0, size: 141780
id: 160.png, label: 0, size: 166005
id: 161.png, label: 0, size: 197115
id: 162.png, label: 0, size: 80070
id: 165.png, label: 0, size: 106335
id: 166.png, label: 0, size: 185895
id: 167.png, label: 0, size: 163965
id: 171.png, label: 0, size: 86700
id: 176.png, label: 0, size: 234345
id: 177.png, label: 0, size: 180540
id: 179.png, label: 0, size: 80580
id: 182.png, label: 0, size: 200430
id: 183.png, label: 0, size: 126735
id: 185.png, label: 0, size: 124695
id: 187.png, label: 0, size: 262650
id: 189.png, label: 0, size: 153510
id: 197.png, label: 0, size: 234345
id: 202.png, label: 0, size: 99960
id: 209.png, label: 0, size: 481950
id: 211.png, label: 0, size: 291720
id: 212.png, label: 0, size: 1424940
id: 213.png, label: 0, size: 689010
id: 215.png, label: 0, size: 394740
id: 216.png, label: 0, size: 970530
id: 218.png, label: 0, size: 2109870
id: 219.png, label: 0, size: 425850
id: 220.png, label: 0, size: 531420
id: 221.png, label: 0, size: 148410
id: 222.png, label: 0, size: 582930
id: 223.png, label: 0, size: 464355
id: 224.png, label: 0, size: 2096100
id: 226.png, label: 0, size: 488835
id: 228.png, label: 0, size: 1936470
id: 229.png, label: 0, size: 958035
id: 230.png, label: 0, size: 776730
id: 231.png, label: 0, size: 904485
id: 232.png, label: 0, size: 1887255
id: 233.png, label: 0, size: 2745840
id: 234.png, label: 0, size: 2143785
id: 235.png, label: 0, size: 1390260
id: 236.png, label: 0, size: 5071185
id: 238.png, label: 0, size: 1486905
id: 239.png, label: 0, size: 391170
id: 240.png, label: 0, size: 1796730
id: 242.png, label: 0, size: 1225020
id: 243.png, label: 0, size: 1747260
id: 244.png, label: 0, size: 344760
id: 245.png, label: 0, size: 363375
id: 246.png, label: 0, size: 131835
id: 247.png, label: 0, size: 247350
id: 248.png, label: 0, size: 203490
id: 252.png, label: 0, size: 791520
id: 253.png, label: 0, size: 642600
id: 254.png, label: 0, size: 92820
id: 255.png, label: 0, size: 1230885
id: 257.png, label: 0, size: 394740
id: 258.png, label: 0, size: 409785
id: 259.png, label: 0, size: 860625
id: 260.png, label: 0, size: 927690
id: 261.png, label: 0, size: 2043060
id: 262.png, label: 0, size: 3883140
id: 263.png, label: 0, size: 531420
id: 264.png, label: 0, size: 1500165
id: 265.png, label: 0, size: 1133985
id: 266.png, label: 0, size: 732360
id: 267.png, label: 0, size: 640815
id: 268.png, label: 0, size: 1529235
id: 269.png, label: 0, size: 757860
id: 271.png, label: 0, size: 539580
id: 272.png, label: 0, size: 1086555
id: 273.png, label: 0, size: 1757205
id: 274.png, label: 0, size: 2372775
id: 275.png, label: 0, size: 498270
id: 276.png, label: 0, size: 1945905
id: 277.png, label: 0, size: 1298715
id: 278.png, label: 0, size: 531165
id: 279.png, label: 0, size: 765000
id: 281.png, label: 0, size: 899130
id: 282.png, label: 0, size: 835380
id: 283.png, label: 0, size: 231285
